Q55,Q58,Q61,Q64,Q67,Q72,Q74,Q78,Q79,Q81,Q82,Q84,Q92,Q98,Q99,Q100,Q101,Q103,Q104,Q111,Q114,Q116,Q119,Q120,Q121,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q133,Q130
,"Engaging with anyone was hard, my daughter was immune suppressed and we were extremely cautious about germs.","Seasonal stuff, oil changes, etc",,Sexual,"Finding someone who will do medicine and proper medical care for her, especially being so fragile and tiny",,It damaged relationships with friends because my needing to be strong for my son made my emotions come out in other ways.,It's constant.  Especially when your child doesn't have an immune system.  Taking them out could land them a week long hospital stay because of germs.  Nobody understands it either.  I've lost friends because they can't understand why it's so difficult. ,Church members,No,Hike bike swim exercise lunch or drinks with friends.,"I used to think I could do anything, or figure a way to do anything. I got a five year degree with a cpa designation in three years while working full time. I've am a driven person to a fault. 
Now some days I can't put a complete sentence together. I feel overwhelmed at times by the unknown. I become obsessive in trying to do more or am I doing enough, what if I just looked harder for answers or a pattern to his behavior, if only I did his or that then I would know for sure. But the truth is I will never know. What I'm doing has to be good enough. I have to set aside my compulsion or I lose myself to it, and my family and marriage suffer. 
I have a hard time spending time and money on myself. I know I could eat better if I took that time but it is time consuming and I don't have the time. I wear what I have because I have clothes. It'd be nice to get dressed up in something new and take out my hubbie for a night on the town in something hot! But that takes planning and time and money and we are usually pretty tapped all the way around. ",Family,"Money, marriage and worrying about child's health",,"Watch kids sports games, board games, go out to eat, walk at the dog park, go to the movies",We don't get to spend time together. We don't get to sleep in the same bed. We have pulled together to take the best care of our girls. We are a good support for each other. ,,,more income,,"Our insurance premiums have gone up so our take home has decreased, less resources for activities.",,tiring,"food, bed, having your own space","Her pets. 
Her friends and family. 
Freedom to walk around and do what she wanted without cords hooked up to her and not having to use a bucket when she went to the bathroom. ","The kind and caring nurses. 
Single rooms. 
Peace of mind knowing we were there doing everything we could to keep our child healthy and someone else was going to relieve me of that caregiving responsibility for a bit. ",If they let us sleep. ,"How hospice would be, I thought they would have spent more time with us, and giving the meds, I thought they would be more involved ",Practices ,"Peer or professional support for self,Help with tasks of daily living (house/yard/errands/meals)",,,
,School and dance class. Its very hard on her!,personal care ie haircuts etc,,We rarely go out together...maybe once a year,"About half way through treatment I hired a nursing student from Seattle U to come on Friday afternoons for a few hours.  she came recommended by a friend who was interviewing for a nanny.  Thanks to my friend, the process of finding her was relatively simple.  However it took me several months to realize I needed this break.  (My son was 15 months old at diagnosis, so the concept of spending all of my time with him seemed natural)",,"Our social life was cut in half.  Most people wanted to stay away.  We didn't really want to go out anyway.  We knew our son was dying and wanted to be with him.

We never looked for someone to take care of him.  We only left him w someone 3 times, and it was with people we knew. ",My child was old enough to be left alone when necessary if both my spouse and I were away for short periods of time.  I usually did not decline invitations if they came up. ,Church friends,Yes,"Lunch with fry, spa.","I haven't any diagnosises, as I haven't been to the dr at all in the almost 2 yrs since he was diagnosed, but I gained a lot of weight and just feel awful. Extremely fatigued.","God, family and friends","my daughter
fund raising
sad anniversaries
",,Going to the vacation cabin,We would fight about medical related stuff and who does what.  We get exhausted and have no time for eachother.  We also love each other a lot and realize that the most important thing in the world is that our kids are alive. ,,,"Not sure, it was a difficult time at first with no stress release. Maybe that would have helped.. ",,"We sacrificed by being on a single income.  
We were week to week, I paid one bill one month another bill the next month.  We had to have a stash of $$ in case we had to go to the hospital which was nearly two hours away.  ",,"Ok, hard to sleep.  Missed being in my own home, missed pets.  Stressed about mail, the yard ","My bed, my pets, comfort","bed, sibilings and food from home","Child life, nurse care, off course Drs.
playyroom","There were several times that the Dr's were callous. Just another patient. Just more bad news being given. These are OUR children. Have more compassion. Not all of the Dr's , but some. Often times when my child was taken to get procedures done she would come back crying cause they ripped tape off her face and made her bleed. She would tell them she had to go pee and they wouldn't let her so on TOP of being sick, she was humiliated and crying because she peed herself. That was so raw and infuriating! So more compassion definitely.",Nothing ,Reach out for help. Know that you are not alone. It is ok to ask for help.,"Respite,Support for my other children,Financial assistance,Peer or professional support for self,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,
,Anything that required me to be away from my child while he was awake.,"Groceries, home improvements ",,"All aspects. But, I'm sorry, everything falls lower on priority list when your child is sick and needs you, and you don't know how much time is left with them. More help watching my child with cancer was not what was needed -- I wanted to be there for him. Help running errands, watching/shuttling siblings, etc. would have been helpful. ",There was no professional medical care giver available as much as we would have liked,,Sitting at home constantly to keep our child away from germs became lonesome and we missed our friends a lot. We couldn't just leave him with a babysitter to go out so we never really did together. I went out once or twice with friends but I missed a lot and friendships grew apart.,If our child can't come we don't go.,Girlfriends,No,Lunch with friends...watch tv...surf the web,I suffer from ptsd many years before my son but it amplified and his death made it worse.. I am a mess and trying to find services to help me and help me maintain good physical heath in the midst of this state killing my son,"my daughter
my son's memory
my husband","My child's health, money, world around us",,"movies, games, eating, baseball, camping, getting together with cousins","Our situation was compounded with the needs of my husband's disabled sister, who recently moved near us after our parents' passed away.  The amount of stress we have experienced as caregivers has affected our relationship as these priorities always came before our marriage.  Our adult son still currently lives with us and is dependent on us.  There is very little privacy or time to be alone as a couple.",,,A housekeeper or yard care. The daily chores take time that we could spend doing other things together ,,"We have spent every penny we are able to make trying to accomodate the challenges of this child of ours.  We had no medical insurance, and had to move and I had to get temporary arrangements to work extra jobs 4 different times, (rural area),  We had NO retirement savings (self employed) until we were in our 50s, we had to continue in a career for 40 years way beyond time to move on and was not working for our family.  We had to move in the winter for School for the Blind and return to Alaska in the summer for our business, we did this 15 yrs, it fractured all of our relationships and even family could not empathize with our chaos.  ",,"He was in the hospital for 24 days. about 6 of these days were spent in the ICU. I was alone with him most of the time. Sometimes I would go many many many hours without eating, since food is not allowed in the ICU, and someone had to be with him at all times. I had to wait for a family member to come visit so I could go eat or shower. Once the hospital had an extra nurse, so she stayed with him for twenty minutes because I was starving. He spent a few days in a regular patient room with a drain in his brain. During those few days, a nurse stayed in the room while we slept, to watch him and make sure his head stayed level and he didn't pull out the drain. They woke me up when he needed to use the bathroom.","Clothes and a washer/dryer, kitchen, people to talk to.","His bed, his dog, freedom","The care, felt safe, immediate attention ","The food was terrible most of the time.  Also at the time there was very little focus put on the psychological needs of my son.   As there was so much focus on the medical aspects of the situation and saving his life, this aspect gets left as a low priority in our experience.  I think it is very difficult to help teens and young adults in hospice and life threatening situations as they tend to withdraw to begin with, thus making any this type of support difficult to apply.  The fallout to this is that he tends to feel that his emotional needs can't and won't be addressed and he has adopted a pattern of dealing with it in his own way by self medicating.  He will of course have to meet some medical needs in the future from all the treatment he had (he's already had dual hip I replacement).  It would be great if patients could have their long term survivorship addressed appropriately.  ",N/A,"Let people help you. Create a network and and fundraising page, get excercise and take care of your self as much as possible, humble yourself to let people help clean and cook and take care of family.","Respite,Other",,,
,"My son wanted to go to school.  So we let him go.  He was there 3-4 mornings  a week, enjoying the bus, learning, and his friends.  

He missed playdates and outings.  
He was 100% paralyzed and going out was very difficult for us all

","Self care, grocery shopping, sibling activities/outings",,"general alone time - dinner dates, etc",Searching quality trusted care in our communities was difficult with wanting a set care of regular providers without the changing or not knowing who was going to show up. Wanted a regular dedicated individual.,,I didn't have a social life while he was acutely ill,I don't feel comfortable leaving her with others ,Other parents from the hospital talking about our kids or family members ,No,"Listen to music, read, take walks spend time with friends",Always trying to stay positive takes its toll on a person. Also anxiety was nothing I ever knew until this time in my life,"My child, God and family","Cleaning, wotk, family",,Go on a hike. Throw rocks on the beach. Go on an adventure.,"My first marriage was physically abusive...having the nurses around helped with that but the stress caused him to act out in other ways.  My second marriage was hard as he needed just as much attention as my daughter, resented it when plans went awry. ",,,"We are struggling to keep the house clean and dust free for allergies because I can't afford a new heater, I struggle with keeping it clean in general because I am so exhausted, I just bought a car i couldn't afford because my old car broke down so I worry about money all the time.",,We had friends throw a huge garage sale! We had people at church donate! We had a fraternity raise funds for us! We had good insurance at the time! I wasn't working so we weren't dependent on my income! We didn't do anything fun! We only did what was necessary for living,,Difficult.  At that time I didn't drive and just getting to the hospital was not easy,"eating proper food, my bed, and sleep","His brother, his bowling set, his video games.","The playroom (when he was well enough to use it), the constant availability of food for the patient, because he liked to eat all the time, and the showers available for family members.",Closer to home. Let me cook.  Someone to talk to about everything and give advice or ideas/tips. ,To write everything down . I felt so much better when I started writing  important  information down. It was  just too much to try and remember. ,"Start a Facebook page as soon as possible and identify key support people who can run point on various needs for your family. Let them go to bat for you on the page. Get help with meals, housecleaning, and finances as needed. ","Respite,Support for my other children,Help with social service programs,Financial assistance,Insurance assistance,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,
,Just spending time alone with other adults other than your spouse.,Shopping for anything that was not absolutely needed. If I was out of staple items I would go shopping. Like milk bread but if it could wait and I could do without it. It would wait.,,Quality time. ,when she was going to have chemo and radiation every day it was very difficult.   But now she takes chemo at home and it is easier.,,"My free time was very limited and I had very little privacy.  We had to avoid crowds so we were unable to attend get together a with friends.  However,  I developed lifelong friendships with other moms of children with cancer.  ","Honestly, we don't even try to find someone because our support network is already used heavily and we don't know anyone who can otherwise help us for free",Mom friends, No,"run, read, watch tv, have coffee...","Relating,to someone,who gets it, ","Children, outdoors, exercise","Work
Health
Health insurance",,"We like to play board games, go to the park, take walks, go on ""trips"" to places we haven't been before",My husband is not working and hasn't for 4 years,,,I think the thing that most helped to improve the living situation we were in was help with food. ,,I don't know,,"AML patients spend a huge amount of time inpatient. It was part of the battle -- we regarded it as ""whatever it takes to beat this thing"". Inpatient's tough when he's feeling well, but appreciated when he was really sick. Seattle Children's is fabulous. It's a matter of perspective. ","- Zach's ability to play and live outside a single room ( he was often in isolation)
- ease of preparing/administering homemade NG feeds
- more time with all the family",He was too young to know - an infant,"Nursing staff, life saving treatments, and ?","When we went home, to let us know she was going to die, if they let us know there, we may have stayed and let her pass away there? ",How to connect with other families,"Make sure every member of the family has a therapist to talk to!
","Referral or references for alternate caregiver service or options,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Transportation help,Other",,,
,All,"Cleaning, groceries, car maintenance...I finally bought a new car last week because my old one broke down, I had a leak in the ceiling for about 6 months, counseling, my doctor appointments, grooming, etc.",,Spending time alone. Sleeping together. ,People with the patience and dedication to learn to understand our complex child are few and far between. Our child is so expensive we can't pay for those at that level. ,,"Never talk or hang out with anyone, but we made friends who have become family while at the hospital. Other parents who understand the worry, fear, and anxiety of our childrens health and how fragIle they are. ",Sick kids means staying at home or hospital,friends,No but that wasn't my priority.,"Walks,  spend time with friends having coffee, read", I am constantly worried about her I am stressed and currently I have the flu.,"Children
Husband
Cats","Coping with the loss of our son, work, out other son's chronic health challenges",,We went out to the park and on drives and spent time playing and loci g 24hrs a day now they killed Zade so I'm a broken mom,Stress and money worries ,,,"It would be amazing to have a caregiver even if it was just for 4 hours a day.  Just to clean, do laundry, errands, take our other daughter to school, and to shower & eat real food. ",,"I have no creative solutions.  I try to make entertaining him a priority - if he gets worn out at the end of the day, I can actually get my work done.  It costs to keep him entertained but I get to work. the sacrifice is my sleep.",,depressing for us and our son,"My other children, my spouse and all of our PETS (same for our cancer kiddo)","pets, siblings, his room/house in general","a place to sleep near my son, the medical care, wifi",Food vocher,That he might lose the ability to walk in the first month; access to naturopathic supportive/integrative care provided as part of our team (vs having to hunt it down ourselves); information on natural palliative support tools,"Have faith.  Ask questions.  Know there are people like Suzanne who are empowered and dedicated to pallative care and life-giving resources to help navigate through the maze and blur of cancer and its life changing definitions. Donate to Ladybug House, and be grateful for one more day. ","Referral or references for alternate caregiver service or options,Support for my other children,Help with social service programs,Insurance assistance,Peer or professional support for self,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,
,"Friends, church, book group",I lived off of Amazon prime. They delivered to the hospital. I stopped grocery shopping and lived from takeout and the cafeteria. ,,"Time outside of the hospitlal together without the older kids was a rare thing. We needed time to talk and be together without little ears. 

And frankly, it's hard to have sex when everyone is in a hotel like room at the Ronald mcdonald house. ","Being that we had to move to a completely unfamiliar area for his treatment, we don't know anyone, let alone trust anyone with his care. Aside from that, there aren't many who are willing to care for a child who has cancer as well as autism. His behaviors can be very hard to handle and require a lot of patience.",,"I had less time to be with my friends, BUT my friends rallied around us during treatment stepping up to do things like cleaning our house, organizing meals, helping find a sitter.  Much of our socializing happened with our children, which wasn't an option during most of treatment,  We ended up doing something together once every 3 weeks at our home when my son's counts had bounced back and only if their kids were healthy",We have not had a vacation in 10 years.,Family,No never,Sleep,"I have anxiety, some depression, insomnia and sleep deprevation","My faith, my family and friends, and time outside.  ","Living in another state away from her specialist doctor. 
Dealing with other doctors or nurses when it comes to my daughter, me being so young and not having a degree they didn't believe anything I say/said about her care. ",,"Sporting events, games, camping, concerts, vacationing",N/A,,,"We stayed in the Ronald McDonald house and the facility , the staff and the volunteers were awesome. But it would have been better to have been able to take both my children. My child that was sick longed for her sister. She was so depressed without her. I can't help but wonder if she would have pushed harder if she had us both there.",,We forego family vacations to save for expenditures such as ramp van and house modifications. ,,Tiring you never sleep well. ,Ibuprofen. Food. Privacy ,Soft blankets(we fixed that but it was big) the comfort of the known,"Starbucks, my slippers that my husband dropped off and the kindness of the nurses ",N/A,"I can't think of anything in regard to my son's initial treatment.  In regard to once he relapsed and went on palliative/hospice care, I wish someone would have told me how important it is to get my child to express his thoughts about what is to come.  My son never seemed to admit he was going to die, so we never had any conversations about his final wishes and we never got to really say good-by.   
I also wish my husband and I had discussed how to handle my son's last months.  I would have prefered enjoying each day as much as possible, taking a last vacation or two; rather than spending all of his last months jumping from trial to trial.  ","Take a break if it's given (give them one myself if allowed)
Encourage communication excersises or marriage boot camp type questions
  (10/10 questions would be great) 
Either clean their home myself, or hire a house cleaner for a month. ","Help with social service programs,Peer or professional support for self",,,
,"Church, parties, weddings, holiday gatherings",I left college mid quarter and put my whole life on hold for the last 5 months. I sent a rent check once a month. ,,"My wife and I meet at Camp Goodtimes, a camp for cancer patients and their siblings. At the time we were just dating. She had previously lost here sister and dad to cancer. I think that it would have been hard to continue a relationship with anyone else. She was able to truly understand why our relationship was fully put on the back burner. I think all aspects of our relationship were neglected. ",Because Zade  required rn or Lon it was very hard.. we had the most problems with nursing company for in home care..they called CPS with false claims to cover themselves not putting nurses in our home and LIEING about it..zades Care team (his regular scheduled nurses) knew nothing about it but nursing co.oant owner said over and over she called everyone which was a lie,,Dramatically reduced and friends not asking me out b/c they never knew when was a good time,Our son was fighting for his life moments with him were more important. ,friends,"Then, during treatment, no not at all.","Exercise, garden, nap","4 years after her treatment ended, I was diagnosed with,breast cancer  (no family history). ","My family(2 kids)
Facebook 
Family events","Medical tests, neighborhood violence, declining health of adult relatives",,"Use to like to go to museums, take road trips",Stress and anxiety and lack of time or money to spend together. But Lso a closer understanding to get through hard things bc we love our kids so much,,,"I think the living situation is ok at the moment however,  I would like to see my son find full time employment and have health insurance and be independent.  He states he is anxious often and often uses marijuana edibles to ease his feelings.  He states his anxiety sometimes affects his ability to find work and look for what he is good at since graduating college.  He also has just fallen off our insurance and my concern is that his future needs will have a profound impact on the stability of our finances, especially since my husband is recently retired and I work two days a week.  I would like to see my son pursue some avenue of help for the fallout from his years of treatment and to face his future with clarity.  I feel that this was not adequately addressed and he has some PTSD symptoms that he needs to overcome.  If this were addressed properly, I think our situation would be improved.  We attempted to do this at SCCA but did not meet with much success, nor was my son able to find a therapist that could help him.  Thanks for what you are doing, it's very important work!",,not really,,DIFFICULT. We were exhausted. A lot of driving back and forth. Making sure our other daughter can stay in school and have a mostly normal schedule and time with us. When we were together at the hospital not enough room and comfortable seating for us. ,Being together under one roof. Home cooked meals. Privacy. ,Being held. Quieter environment. ,Excellent care. Closeness to home 1/2 hour. ,I remember being so hungry a couple of times as a mom. My husbandofren times couldn't get there until the evening. I would have loved to have a decent meal delivered to my daughters room or a coffee. My daughter loved getting a new stuffed animal or small toy. Stickers are great too.,"It wasnt about wishing for more info; that exists and is there by grace of my role as a RN and my special friend, Suzanne Gwynn of Ladybug House.

I wish my son did not have any lifelong illness.  ",We are having to make decisions with the information that we are given try to trust yourself but doctors and nurses around you and don't regret any decision made. It is really hard and not everybody will understand.,"Financial assistance,Peer or professional support for self",,,
,"Birthday parties, movies with friends or family, going out to eat, date night, or anything that doesn't involve my daughter ","Grocery shopping, bank, bill paying, picking up home care supplies. ",,"Our entire relationship revolved around medication schedules, who would clean up after she got sick to her stomach, and who would sleep at the hospital with her.  We didn't even sleep in the same room for an entire year because she would get sick in her sleep and choke on her NG tube.  I had to be right by her to make sure she was still breathing.  We haven't gone on a date since July of 2015.  Someone tried to send us on a date one time but we ended up having them babysit while we bleached our home together to make it germ free for immune suppression purposes. ","Most people are not equipped to handle children with cancer. Line care, hooking up IV fluids, antibiotics and medication management. It is extremely difficult to let go of the control in fear of a bad outcome. ",,Always with family as it was our life circumstances with a shared responsibility with our caregiver. Our social life drastically changed and we did not participate or engage in activities that we usually did.,"As a couple we both couldn't go.  If one could go, I preferred to stay home for rest which turned out to not be restful at all, but enjoyable time with the kids,sometimes. 
After a while, I was never invited only because I never went anyway, which was hurtful and isolating ","A best friend. 
My hairdresser to get my hair done once every few months. 

",yes,"Exercise, have lunch with friends, read,",I have Hashimotos thyroiditis.  I have not been able to care for myself as easily & have neglected my own doctor visits.  ,Spending time with my family,"Financial 
Time 
Work",,"Picnics, scenic drives. ","It brings out the best and worst in us simultaneously--we are tag teaming so many things which feels great, having deep important conversations and making important decisions together as a team; we both constantly try to get our own needs met in moments of stress, which are often at odds--emotions run high and patience runs low. But ultimately we will get through this stronger and try to remember to have extra patience with one another.",,,Counseling would have helped....it did help but was hard to find because of money. ,,"Fear of unknown costs/bills associated with treatment.  Generosity of Uncompensated Care made a HUGE impact on helping us relax about finances.  Questions of post-treatment care costs continue, again, unknown and likely substantial",,"We stayed in the hospital for almost 6 months straight.  Sleeping for me and my mom was hard because of the noise, etc.  Discipline for him was non-existant.","privacy, my other son, comfortable bed","his brother, his toys, everyone in one place.","the nurses, wifi, laundry","Food, more options as far as activity plan because my kid was in isolation","That she was not going to survive.  I feel in some ways the false hope that was given was a byproduct of these precious doctors who on their worst days get to tell so many families it is malignant they were trying to share with us the jubilation in their hearts that our situation was different, yet somehow that was communicated as it's fine, no big deal, your lucky, she'll be fine! When really that was not necessarily the case. Having hope is important,  but my hope is not lost because we lost our daughter and walking this road after hand has felt like the community at children's cancer care and the hospital as a whole has the same sociatal difficulty in accepting the fact that children die sometimes. The whole stronger campaigns are great! But what about those of us that have lost that battle? Are we not stronger?",Enjoy what you have today as much as you can it may go away.  ,"Financial assistance,Insurance assistance,Peer or professional support for self,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,
,Spending time with friends ,"Everything pertaining to my other child. Taking her to Birthday parties Etc.
 Church was a big one for me. We needed that and couldn't go. ",,Everything there was physical separation and I let it go completely to tend to the needs of my child.,Finding a caregover available the hours needed..,,Not going out as much.        I am tired of people feeling sorry for us.,"Many times I would ask a family member or someone for help, NO.  It caused great distress, as there were plenty of capable family members around, but the main leader set the tone to not help.  Eventually we just became a tight unit in our family and did everything together.  We had our first family friends when she was 14, with another challenged family.   This worked fine until all the kids left, and it was just us again.  Then we were alone and started finding our way to care.  14 years of stress as she was in her 20 and 30s.  A professional agency finally gave us space when she was 34.","My extended family, very few friends ",No I didn't ,"Play a game on my phone when kids are sleeping, go for a walk with friends, watch movies. ","The ""what ifs"" and survivor guilt.","Family
Religion 
Support","Who is reading all this?    
1. my daughter's health
2. worrying about my daughter's health
3. my kids well being",,"Go to the park, go to the beach, travel, museum, hikes, visit zoo, play games, listen to music, camping","Due to my husband's job, he was away most of the time my son went through his initial treatment.  The stress of traveling cross country and trying to keep up with his workload caused him great stress that he wouldn't discuss.  Once my son was out of treatment and my husband was able to work from home things got much better.
When my son relapsed, my husband decided he would be in control of what kinds of treatment my son would have.  He didn't want to discuss options as a family.  His attitude caused my son and I unbelievable stress.  My son didn't have the opportunity to decide whether he wanted to just pack as much as he could into his remaining months or spend the rest of his time going from trial to trial.  My husband decided for him.
",,,Divorce ,,,,It was stressful. My mom and I always stayed at the hospital with her. Dad would go home for the night. Other then a few outliers we always had great hospital staff. ,Just being in your own space.,Her dog and just being in her own space. Also christmas decorations. (Its the little things),"Amazing Nurses! 
Family and friends visiting.
People bringing meals to us. ","Could feel more like home, could have greater access to volunteers who will come sit with the patients, could have meals available for caregivers/kitchen with appliances, could have a Jamba Juice and not just Starbucks, could have better storage and surface space for families, could have better opportunity for social interaction with other families, an evening after-bed ""happy hour"" for adults would not be unappreciated (perhaps even with a 2-drink limit or something to discourage inebriation), better access to Protestant/evangelical chaplains or an in-house Bible study",What medicine were have to versus should. ,"Never give up!! Study, ask questions, research, love!","Support for my other children,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Transportation help",,,
,spending long periods (i.e. entire days) w/ friends away from Seattle,Grocery shopping. Getting her brother to his events. That's when we needed help from friends and family.,,"Emotional, focus on illness of child was so stressful it was hard to pull away and take the time to be with spouse for anything enjoyable.", I would find it very difficult to find anybody that I trust enough to care for her the way I feel she needs to be cared for.,,"No one understands where we r coming from.  We are too special for typical and too typical for special needs families. 
We compartmentalise. We have friends who we never talk about our children and this we do, but usually never can we be ourselves. My aunt and uncle in their late 60's early 70's who have now an adult child with a Fontan Shunt, we consider our best friends. They had a medically special child who lived when most did not. So people who understood them often fell out of friendship if their own child passed.",I didn't trust others except husband. So didn't try very hard,My son and his dad,No,"Have lunch or dinner with friends, go for a walk and talk, go to the movies, excercise",I have gained a lot of weight and I have some pretty significant anxiety issues that I didn't have before diagnosis. ,"my family, my kitty cat Ernie, biking, reading a damn good book.  Going to see a clever, well written movie, drinking good beer.    (Manny's is my favorite.)
Oh yeah, and kicking the shit out a soccer ball.   A perfect shot on goal is thing of joy.","Money, insurance, the unknown",,"Boardgames
Hike 
Dog to beach 
Movies ","The overwhelming, stress of 2 medically fragile children and loss of one, along with lack of adequate support systems ruined our marriage.",,,I don't know ,,,,"It's the most horrible thing in the world because we have to be away from our other kids, our daughter has to sleep in a crib with metal bars, and someone is waking her up every four hours around the clock for vitals. ","Our beds, healthy food, privacy, spending time as a family. ","Sleeping regular hours, having all of her toys and the comfort of her bed, baths in a real bathtub. ","Someone else did her 12 medications and chemo, laundry service, cleaning service, child life, that I knew she was safe. ",Food delivery ,Slow neurological death may be harder than fast.  ,"Take turns caring for the child.  One person can not do it all even if you think you are super Mom or super Dad.  Everyone should have some sort of role.  Not just to share the load but also to give everyone something to do to make them feel they are helping.  Even people outside of the immediate family want to help.  Let them!  Don't be afraid to ask someone to bring you dinner, clean your house,  take you for a walk, spend time with your other children or you or your spouse.  If someone asks what they can do state exactly what you want.  If someone wants to do a fundraiser for you, let them.  We only made it through financially because of the help we received from others.  When we were out of town my niece stayed at our house and took care of the pets.  My brother-in-law made sure the lawn was mowed and Kathryn's friends came over and took down all of the Halloween decorations so we would be ready to decorate for Christmas.  Allow people to visit.  It helps everyone to talk and share.  We did our best to have fun no matter what.  We also made sure the patient's wishes were respected.  And last but not least - you are not super human - so find a counselor to talk to.  Talking helps!  It saved my husbands life.  Kathryn's boyfriend saw a counselor from when we left for Houston and continued fro a couple of years after she died.  Don't forget there are people who love you and care about you and your family.  You are not alone.","Respite,Support for my other children,Financial assistance,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,
,"beer with friends, soccer team, movies","Grocery shopping, hair appts, school clothes shopping for older kids, ",,Everything,I only trust me and her father to care for all her needs,,I haven't had a social life since diagnosis. I'm lucky to leave the house during the 10 or so days that follow his monthly chemo/high dose steroid week. ,"When we were in Hawaii she was more medically complex, my husband wasn't even comfortable enough to assume care for her. We were also still learning how to manage her feeding tube, so we rarely left the house. Sometimes now because of her developmental delays, 8 will decline to go with friends to places where she is unable to crawl around.",Friends and family ,No,"exercise, hike, reading",depression,"My children, husband and being outside in our beautiful area!","Cancer, Autism, Type 1 Diabetes",,"play games, computer, watch movies, go to Seattle and wander around","As I stated earlier, there was a disconnect for my husband he heard non malignant , believed strongly that a positive attitude would be the best help, and I agreed wholeheartedly, but the lack of admitting we were in serious and potentially dangerous options weighed heavily. The Drs would give options and he would ask what's your opinon, and just do whatever they said without research without thinking or praying or even at times asking me. Kinda made me worry when I did leave him alone with Tahlia what would be changed. 

Towards the end he kinda stopped going to her bed. He didn't want to see it, there was a high level of disengaged behavior early on. But that is not due to this one moment in our marriage. We have been married now for 15 years and it was a clear symptom that was there long before our daughter was ever sick. 

It has made us be more honest with each other now (we are in counseling) I truly believe that God had a purpose for bringing us through this dark valley. 

It has shown me sides of my husband that I had not seen, and I am sure shown him sides of me that he didn't know existed.  

",,,N/A,,,,"It was depressing. I saw the onsets of depression. My child was upbeat, positive, a bright side kiddo! But long periods of each day waiting for the Doctors to come in and determine if we could leave, only to have them say we had to stay in there longer......too much. She was not herself and was so sad. It was really disheartening.",Being in familiar space. Being able to relax and not watch the door to see who was coming in next. the comfort of being able to see Family. Being surrounded by your own things. Sleeping in your own room.,"She was all about Family. She looked at her Tata ( Grandpa) as her Dad. She missed him and everyone terribly. Her being separated from Family and the ones she loves was I think , the hardest for her.
Her counts went up, she gained weight and overall she was so much better when Family came to visit.","The amazing Nurses. I still to this day am friends with them. They became our extended Family.
The people that stayed in the Ronald McDonald house....we all understood each other and all the kids looked the same, fought the same battles, so the fact that you were in such a loving environment, I was and am forever grateful for that.",Family allowed to be together over ight,Challenge the Dr. S with in reason not to be disrespectful yet being an advocate. ,"Be positive 
Trust your instinct about your child
Learn all you can
Recalibrate or learn to deal with grief, than move forward.  This helps you focus, and I think teaches positivity, & strength through adversity 
","Referral or references for alternate caregiver service or options,Support for my other children,Peer or professional support for self,Help with tasks of daily living (house/yard/errands/meals)",,,
